"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"31/08/2021","18,75","18,24","-3,39","18,14","19,06","560,23M"
"31/08/2021","18,75","18,24","-3,39","18,14","19,06","560,23M"
"30/08/2021","18,94","18,88","-0,79","18,49","19,10","420,76M"
"30/08/2021","18,94","18,88","-0,79","18,49","19,10","420,76M"
"27/08/2021","n/d","19,03","1,22","18,76","19,15","399,79M"
"27/08/2021","n/d","19,03","1,22","18,76","19,15","399,79M"
"26/08/2021","19,47","18,80","-3,84","18,69","19,70","666,99M"
"26/08/2021","19,47","18,80","-3,84","18,69","19,70","666,99M"
"25/08/2021","19,12","19,55","1,61","19,03","19,56","590,41M"
"25/08/2021","19,12","19,55","1,61","19,03","19,56","590,41M"
"24/08/2021","18,34","19,24","6,12","18,15","19,34","1,32B"
"24/08/2021","18,34","19,24","6,12","18,15","19,34","1,32B"
"23/08/2021","19,02","18,13","-3,87","18,07","19,05","533,26M"
"23/08/2021","19,02","18,13","-3,87","18,07","19,05","533,26M"
"20/08/2021","18,70","18,86","-0,47","18,40","19,00","441,61M"
"20/08/2021","18,70","18,86","-0,47","18,40","19,00","441,61M"
"19/08/2021","18,58","18,95","0,58","18,11","19,08","613,17M"
"19/08/2021","18,58","18,95","0,58","18,11","19,08","613,17M"
"18/08/2021","19,42","18,84","-2,43","18,63","19,50","626,94M"
"18/08/2021","19,42","18,84","-2,43","18,63","19,50","626,94M"
"17/08/2021","19,28","19,31","-0,57","18,71","19,66","574,26M"
"17/08/2021","19,28","19,31","-0,57","18,71","19,66","574,26M"
"16/08/2021","20,23","19,42","-4,19","19,40","20,40","632,47M"
"16/08/2021","20,23","19,42","-4,19","19,40","20,40","632,47M"
"13/08/2021","21,10","20,27","-3,34","19,88","21,17","891,88M"
"13/08/2021","21,10","20,27","-3,34","19,88","21,17","891,88M"
"12/08/2021","20,74","20,97","0,29","20,54","21,26","519,00M"
"12/08/2021","20,74","20,97","0,29","20,54","21,26","519,00M"
"11/08/2021","20,41","20,91","2,50","20,15","20,96","337,57M"
"11/08/2021","20,41","20,91","2,50","20,15","20,96","337,57M"
"10/08/2021","20,53","20,40","-0,44","20,13","20,76","397,23M"
"10/08/2021","20,53","20,40","-0,44","20,13","20,76","397,23M"
