"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"31/08/2021","28,71","27,92","-2,79","27,73","28,78","855,78M"
"30/08/2021","28,88","28,72","-1,24","28,66","29,26","450,39M"
"27/08/2021","n/d","29,08","3,05","28,38","29,11","271,37M"
"26/08/2021","28,17","28,22","-0,81","28,16","28,65","502,59M"
"25/08/2021","28,30","28,45","0,25","28,10","28,47","257,27M"
"24/08/2021","28,23","28,38","1,14","28,05","28,38","274,85M"
"23/08/2021","27,52","28,06","3,35","27,30","28,07","602,74M"
"20/08/2021","27,00","27,15","-0,04","26,61","27,16","333,15M"
"19/08/2021","27,01","27,16","-0,95","26,85","27,42","357,20M"
"18/08/2021","27,83","27,42","-1,19","27,39","28,08","413,65M"
"17/08/2021","27,41","27,75","0,04","27,34","28,45","569,29M"
"16/08/2021","28,15","27,74","-1,91","27,34","28,15","392,94M"
"13/08/2021","27,85","28,28","1,56","27,76","28,40","392,63M"
"12/08/2021","27,80","27,84","0,55","27,56","28,12","390,82M"
"11/08/2021","27,23","27,69","1,56","27,04","27,97","331,38M"
"10/08/2021","27,46","27,27","0,03","27,25","27,87","377,67M"
"09/08/2021","27,22","27,26","-0,93","26,79","27,36","441,80M"
"06/08/2021","27,66","27,51","-0,55","27,22","27,78","388,95M"
"05/08/2021","27,47","27,66","9,63","26,97","28,26","1,56B"
"04/08/2021","26,02","25,24","-3,61","24,99","26,08","542,78M"
"03/08/2021","25,80","26,18","1,69","25,20","26,18","370,10M"
"02/08/2021","26,12","25,75","-0,95","25,75","26,67","467,41M"
"30/07/2021","26,49","25,99","-2,59","25,97","26,70","429,74M"
"29/07/2021","26,77","26,68","-0,39","26,46","26,86","177,41M"
"28/07/2021","26,49","26,79","1,83","26,17","26,88","330,78M"
"27/07/2021","26,38","26,30","-0,43","26,02","26,45","199,24M"
"26/07/2021","25,84","26,42","2,01","25,80","26,50","279,55M"
"23/07/2021","26,37","25,90","-1,33","25,77","26,39","202,42M"
"22/07/2021","26,22","26,25","0,14","25,89","26,42","181,71M"
"21/07/2021","25,95","26,21","1,61","25,76","26,46","328,50M"
"20/07/2021","25,17","25,79","1,64","24,92","26,06","340,74M"
"19/07/2021","24,99","25,38","-1,18","24,89","25,45","394,51M"
"16/07/2021","26,37","25,68","-1,91","25,51","26,43","335,37M"
"15/07/2021","26,73","26,18","-2,36","26,08","26,83","369,44M"
"14/07/2021","27,28","26,81","-0,67","26,64","27,40","413,38M"
"13/07/2021","26,78","26,99","0,39","26,50","27,11","222,93M"
"12/07/2021","26,84","26,89","1,03","26,46","27,03","342,09M"
"08/07/2021","n/d","26,62","-1,98","26,46","26,98","332,58M"
"07/07/2021","27,40","27,15","0,53","26,73","27,40","414,83M"
"06/07/2021","27,80","27,01","-3,74","27,01","28,02","711,88M"
"05/07/2021","28,08","28,06","-1,13","27,62","28,34","270,00M"
"02/07/2021","28,46","28,38","0,91","27,80","28,46","301,35M"
"01/07/2021","28,86","28,13","-1,75","27,95","29,15","419,17M"
"30/06/2021","27,98","28,63","2,06","27,85","28,82","1,02B"
"29/06/2021","27,71","28,05","1,37","27,41","28,13","511,09M"
"28/06/2021","27,87","27,67","-0,44","27,43","27,94","307,81M"
"25/06/2021","28,28","27,80","-1,61","27,69","28,51","510,52M"
"24/06/2021","28,16","28,25","1,53","27,82","28,36","374,44M"
"23/06/2021","27,86","27,83","0,24","27,59","28,24","329,28M"
"22/06/2021","27,71","27,76","0,10","27,31","27,96","385,48M"
"21/06/2021","27,25","27,73","2,09","27,21","27,83","251,05M"
"18/06/2021","26,91","27,16","0,28","26,57","27,18","544,98M"
"17/06/2021","27,87","27,09","-3,08","26,81","28,02","477,85M"
"16/06/2021","27,97","27,95","0,34","27,52","28,16","755,82M"
"15/06/2021","27,83","27,85","0,72","27,48","27,96","326,09M"
"14/06/2021","27,99","27,65","-0,14","27,52","28,34","459,65M"
"11/06/2021","27,96","27,69","-0,78","27,48","28,07","425,50M"
"10/06/2021","27,99","27,91","0,07","27,78","28,24","502,96M"
"09/06/2021","27,83","27,89","0,34","27,69","28,30","736,49M"
"08/06/2021","26,93","27,80","2,40","26,88","27,94","1,41B"
"07/06/2021","27,37","27,14","-0,73","26,92","27,53","1,07B"
"04/06/2021","27,02","27,34","1,22","26,79","27,68","1,15B"
"02/06/2021","25,79","27,01","4,96","25,76","27,02","1,18B"
"01/06/2021","25,71","25,74","2,18","25,30","25,97","750,43M"
"31/05/2021","25,24","25,19","-0,22","24,97","25,39","511,33M"
"28/05/2021","24,10","25,24","5,78","24,10","25,29","1,18B"
"27/05/2021","23,98","23,86","-0,75","23,69","24,20","486,03M"
"26/05/2021","23,89","24,04","0,87","23,65","24,07","228,58M"
"25/05/2021","24,29","23,84","-1,79","23,75","24,40","461,07M"
"24/05/2021","24,27","24,27","1,02","23,90","24,34","352,75M"
"21/05/2021","23,89","24,03","0,99","23,86","24,13","426,42M"
"20/05/2021","24,09","23,79","-1,37","23,64","24,18","287,91M"
"19/05/2021","23,81","24,12","-0,31","23,70","24,19","330,99M"
"18/05/2021","24,53","24,20","-1,31","24,09","24,62","341,22M"
"17/05/2021","24,21","24,52","1,17","24,15","24,52","276,42M"
"14/05/2021","23,82","24,23","4,65","23,66","24,32","504,45M"
"13/05/2021","23,00","23,16","1,07","22,64","23,23","355,06M"
"12/05/2021","23,02","22,91","-1,26","22,90","23,51","417,13M"
"11/05/2021","22,60","23,20","1,32","22,53","23,25","416,32M"
"10/05/2021","22,88","22,90","1,25","22,71","23,12","479,53M"
"07/05/2021","21,95","22,62","3,73","21,78","22,62","471,67M"
"06/05/2021","21,97","21,80","-1,41","21,74","22,15","279,35M"
"05/05/2021","21,51","22,12","4,09","21,44","22,28","467,10M"
"04/05/2021","21,80","21,25","-2,30","21,25","21,98","320,90M"
"03/05/2021","21,90","21,75","-0,39","21,52","21,98","320,11M"
